Date;Exchange
21.03.2017;57,2847
18.03.2017;57,9344
17.03.2017;58,2437
16.03.2017;59,1128
15.03.2017;58,9540
14.03.2017;59,1327
11.03.2017;59,2174
10.03.2017;58,8318
08.03.2017;58,2630
07.03.2017;58,3370
04.03.2017;58,9099
03.03.2017;58,4067
02.03.2017;58,3776
01.03.2017;57,9627
28.02.2017;57,9371
23.02.2017;57,4762
22.02.2017;57,8590
21.02.2017;58,0967
18.02.2017;57,6342
17.02.2017;57,1507
16.02.2017;56,7719
15.02.2017;57,7388
14.02.2017;58,0619
11.02.2017;58,8457
10.02.2017;59,0235
09.02.2017;59,5129
08.02.2017;59,1933
07.02.2017;58,7121
04.02.2017;59,3137
03.02.2017;59,9858
02.02.2017;60,3099
01.02.2017;60,0851
31.01.2017;60,1618
28.01.2017;60,3196
27.01.2017;59,6356
26.01.2017;59,1489
25.01.2017;59,2168
24.01.2017;59,5034
21.01.2017;59,6697
20.01.2017;59,3521
19.01.2017;59,1830
18.01.2017;59,4015
17.01.2017;59,6067
14.01.2017;59,3700
13.01.2017;59,4978
12.01.2017;60,1614
11.01.2017;59,9533
10.01.2017;59,8961
09.01.2017;60,6569
